city;cases;pop;lat;lon;
Feketeerdő;37;621;47.9356106;17.2793082;
Terény;22;370;47.9455052;19.4414941;
Szászberek;60;1010;47.3107297;20.093252;
Vaszar;91;1536;47.4024091;17.5160785;
Tanakajd;43;726;47.1889449;16.7344505;
Rétság;165;2788;47.9303241;19.1375901;
Szabolcs;21;355;48.1718359;21.4954557;
Mindszent;398;6755;46.524022;20.186003;
Debréte;1;17;48.4997333;20.8660044;
Bernecebaráti;49;835;48.038167;18.9139865;
Mágocs;135;2313;46.349833;18.2285903;
Lucfalva;37;635;48.0303894;19.6925632;
Kunsziget;75;1288;47.7393981;17.5152083;
Derekegyház;92;1583;46.5821452;20.3559703;
Kópháza;121;2082;47.6384056;16.6431637;
Szécsénke;12;207;47.9057349;19.3324479;
Bakonykúti;10;173;47.2455037;18.1980235;
Nagysimonyi;56;969;47.2631656;17.065648;
Szomód;130;2251;47.6824922;18.3423516;
Nagygörbő;9;156;46.9311134;17.1793434;
Győrság;87;1511;47.5802453;17.7521523;
Nagybárkány;38;661;47.9977943;19.7016658;
Nagypáli;31;540;46.9085576;16.8413718;
Sióagárd;74;1291;46.3907879;18.6535953;
Kóny;156;2723;47.6316029;17.3601631;
Sajókápolna;23;402;48.1954279;20.6848762;
Nagytarcsa;269;4703;47.5267353;19.2834412;
Dobronhegy;8;140;46.8162537;16.7472857;
Pötréte;16;280;46.6782671;16.9509894;
Besenyszög;189;3309;47.2960008;20.257149;
Hont;29;509;48.0500784;18.9912734;
Pásztó;515;9047;47.9210914;19.6998353;
Tényő;98;1722;47.5406578;17.6456212;
Zalaistvánd;21;369;46.9179189;16.975852;
Ságújfalu;57;1002;48.1032679;19.6798175;
Tiborszállás;57;1002;47.8149251;22.4079242;
Kapuvár;574;10098;47.5937043;17.0274824;
Fertőd;187;3292;47.6216447;16.8645968;
Kiscsősz;6;106;47.1958925;17.2798352;
Tengeri;3;53;45.9263807;18.0883589;
Nick;31;548;47.4020181;17.0196686;
Sződliget;261;4615;47.7299732;19.1473194;
Felsőberecki;16;284;48.3598176;21.6948818;
Lázi;31;551;47.4651544;17.8374789;
Mosonmagyaróvár;1825;32454;47.8731793;17.2722342;
Vizslás;75;1335;48.0497002;19.8203912;
Écs;116;2072;47.5611951;17.7153122;
Röjtökmuzsaj;24;429;47.5561687;16.8351916;
Csurgónagymarton;10;179;46.2942905;17.0830691;
Markaz;97;1737;47.8266709;20.0547595;
Ikervár;98;1755;47.2082081;16.8953858;
Karancsberény;45;806;48.1837308;19.7452275;
Lébény;183;3279;47.7354942;17.3906258;
Narda;27;484;47.2374828;16.4611886;
Nógrádmarcal;27;484;48.0272503;19.3847669;
Felsőszentmárton;48;861;45.8522747;17.705455;
Kecskéd;116;2085;47.5240181;18.3076032;
Jákfa;28;504;47.3384243;16.9549523;
Mátraszele;51;918;48.0553975;19.893917;
Drégelypalánk;81;1459;48.0520987;19.0440957;
Csehimindszent;21;379;47.0464514;16.9556599;
