település;fertőzöttek;népesség;;;;;;;;;;;;;;;;;;;;;;;
Harka;128;2 535;;;;;;;;;;;;;;;;;;;;;;;
Nárai;74;1 466;;;;;;;;;;;;;;;;;;;;;;;
Berkesd;45;892;;;;;;;;;;;;;;;;;;;;;;;
Dunakiliti;101;2 003;;;;;;;;;;;;;;;;;;;;;;;
Tolmács;38;754;;;;;;;;;;;;;;;;;;;;;;;
Klárafalva;26;516;;;;;;;;;;;;;;;;;;;;;;;
Szanda;31;616;;;;;;;;;;;;;;;;;;;;;;;
Söpte;40;795;;;;;;;;;;;;;;;;;;;;;;;
Ajka;1 431;28 455;;;;;;;;;;;;;;;;;;;;;;;
Baté;40;796;;;;;;;;;;;;;;;;;;;;;;;
Géderlak;50;995;;;;;;;;;;;;;;;;;;;;;;;
Lovászi;58;1 156;;;;;;;;;;;;;;;;;;;;;;;
Sátoraljaújhely;748;14 947;;;;;;;;;;;;;;;;;;;;;;;
Kadarkút;123;2 458;;;;;;;;;;;;;;;;;;;;;;;
Bicsérd;53;1 060;;;;;;;;;;;;;;;;;;;;;;;
Eplény;26;520;;;;;;;;;;;;;;;;;;;;;;;
Hegyeshalom;183;3 660;;;;;;;;;;;;;;;;;;;;;;;
Kisbárkány;8;160;;;;;;;;;;;;;;;;;;;;;;;
Sé;70;1 402;;;;;;;;;;;;;;;;;;;;;;;
Szeleste;33;661;;;;;;;;;;;;;;;;;;;;;;;
Csákberény;59;1 182;;;;;;;;;;;;;;;;;;;;;;;
Nagyigmánd;143;2 867;;;;;;;;;;;;;;;;;;;;;;;
Kapolcs;19;381;;;;;;;;;;;;;;;;;;;;;;;
Sitke;37;742;;;;;;;;;;;;;;;;;;;;;;;
Iszkaszentgyörgy;108;2 166;;;;;;;;;;;;;;;;;;;;;;;
Ricse;93;1 868;;;;;;;;;;;;;;;;;;;;;;;
Szil;68;1 366;;;;;;;;;;;;;;;;;;;;;;;
Szákszend;74;1 487;;;;;;;;;;;;;;;;;;;;;;;
Nagyszénás;242;4 863;;;;;;;;;;;;;;;;;;;;;;;
Babót;55;1 106;;;;;;;;;;;;;;;;;;;;;;;
Kisapáti;18;362;;;;;;;;;;;;;;;;;;;;;;;
