település;fertőzöttek;népesség;;;;;;;;;;;;;;;;;;;;;;;
Csömör;399;9 768;;;;;;;;;;;;;;;;;;;;;;;
Gyermely;62;1 518;;;;;;;;;;;;;;;;;;;;;;;
Süttő;84;2 057;;;;;;;;;;;;;;;;;;;;;;;
Szada;221;5 413;;;;;;;;;;;;;;;;;;;;;;;
Nemescsó;12;294;;;;;;;;;;;;;;;;;;;;;;;
Mezőkovácsháza;238;5 847;;;;;;;;;;;;;;;;;;;;;;;
Ormosbánya;66;1 622;;;;;;;;;;;;;;;;;;;;;;;
Kistokaj;90;2 212;;;;;;;;;;;;;;;;;;;;;;;
Mogyoród;285;7 021;;;;;;;;;;;;;;;;;;;;;;;
Tornyiszentmiklós;22;542;;;;;;;;;;;;;;;;;;;;;;;
Kecskemét;4 485;110 621;;;;;;;;;;;;;;;;;;;;;;;
Garbolc;6;148;;;;;;;;;;;;;;;;;;;;;;;
Letkés;48;1 184;;;;;;;;;;;;;;;;;;;;;;;
Onga;199;4 911;;;;;;;;;;;;;;;;;;;;;;;
Okány;101;2 493;;;;;;;;;;;;;;;;;;;;;;;
Kistarcsa;533;13 157;;;;;;;;;;;;;;;;;;;;;;;
Zalagyömörő;17;420;;;;;;;;;;;;;;;;;;;;;;;
Ács;290;7 169;;;;;;;;;;;;;;;;;;;;;;;
Körösszakál;33;816;;;;;;;;;;;;;;;;;;;;;;;
Mórahalom;255;6 312;;;;;;;;;;;;;;;;;;;;;;;
Ősi;84;2 081;;;;;;;;;;;;;;;;;;;;;;;
Kiskunhalas;1 146;28 392;;;;;;;;;;;;;;;;;;;;;;;
Kemenessömjén;23;570;;;;;;;;;;;;;;;;;;;;;;;
Budapest XVIII. kerület;4 062;100 725;;;;;;;;;;;;;;;;;;;;;;;
Nyíradony;318;7 890;;;;;;;;;;;;;;;;;;;;;;;
Keszeg;28;696;;;;;;;;;;;;;;;;;;;;;;;
Zalaszentgrót;259;6 442;;;;;;;;;;;;;;;;;;;;;;;
Ebes;191;4 751;;;;;;;;;;;;;;;;;;;;;;;
Kaskantyú;40;995;;;;;;;;;;;;;;;;;;;;;;;
Tótvázsony;56;1 393;;;;;;;;;;;;;;;;;;;;;;;
Ludas;30;747;;;;;;;;;;;;;;;;;;;;;;;
Herceghalom;105;2 615;;;;;;;;;;;;;;;;;;;;;;;
Dövény;11;274;;;;;;;;;;;;;;;;;;;;;;;
Nagybánhegyes;51;1 271;;;;;;;;;;;;;;;;;;;;;;;
Vindornyaszőlős;14;349;;;;;;;;;;;;;;;;;;;;;;;
Szemere;17;424;;;;;;;;;;;;;;;;;;;;;;;
Hévíz;190;4 740;;;;;;;;;;;;;;;;;;;;;;;
Kémes;19;474;;;;;;;;;;;;;;;;;;;;;;;
Nagyér;22;549;;;;;;;;;;;;;;;;;;;;;;;
Bagod;50;1 249;;;;;;;;;;;;;;;;;;;;;;;
Kimle;92;2 299;;;;;;;;;;;;;;;;;;;;;;;
Daraboshegy;4;100;;;;;;;;;;;;;;;;;;;;;;;
Fertőhomok;33;825;;;;;;;;;;;;;;;;;;;;;;;
Füzérradvány;13;325;;;;;;;;;;;;;;;;;;;;;;;
Kondó;24;600;;;;;;;;;;;;;;;;;;;;;;;
Rábagyarmat;30;750;;;;;;;;;;;;;;;;;;;;;;;
Szuhafő;6;150;;;;;;;;;;;;;;;;;;;;;;;
Und;13;325;;;;;;;;;;;;;;;;;;;;;;;
Gyöngyössolymos;117;2 926;;;;;;;;;;;;;;;;;;;;;;;
Albertirsa;523;13 087;;;;;;;;;;;;;;;;;;;;;;;
Encs;257;6 436;;;;;;;;;;;;;;;;;;;;;;;
Szentkirályszabadja;83;2 080;;;;;;;;;;;;;;;;;;;;;;;
Kéthely;93;2 331;;;;;;;;;;;;;;;;;;;;;;;
Dorogháza;41;1 028;;;;;;;;;;;;;;;;;;;;;;;
Budapest XVI. kerület;2 918;73 219;;;;;;;;;;;;;;;;;;;;;;;
Tiszabő;91;2 286;;;;;;;;;;;;;;;;;;;;;;;
Budapest V. kerület;1 036;26 028;;;;;;;;;;;;;;;;;;;;;;;
Sajtoskál;16;402;;;;;;;;;;;;;;;;;;;;;;;
Székesfehérvár;3 835;96 373;;;;;;;;;;;;;;;;;;;;;;;
Alsóújlak;23;578;;;;;;;;;;;;;;;;;;;;;;;
Pálmajor;14;352;;;;;;;;;;;;;;;;;;;;;;;
Tihany;54;1 358;;;;;;;;;;;;;;;;;;;;;;;
Legénd;19;478;;;;;;;;;;;;;;;;;;;;;;;
Somogyjád;62;1 560;;;;;;;;;;;;;;;;;;;;;;;
Gyömrő;746;18 782;;;;;;;;;;;;;;;;;;;;;;;
Pécs;5 877;148 030;;;;;;;;;;;;;;;;;;;;;;;
Kiskunfélegyháza;1 197;30 155;;;;;;;;;;;;;;;;;;;;;;;
Pilisvörösvár;583;14 688;;;;;;;;;;;;;;;;;;;;;;;
Szarvaskő;15;378;;;;;;;;;;;;;;;;;;;;;;;
Pilisjászfalu;69;1 743;;;;;;;;;;;;;;;;;;;;;;;
Salköveskút;19;480;;;;;;;;;;;;;;;;;;;;;;;
Vasasszonyfa;15;379;;;;;;;;;;;;;;;;;;;;;;;
Hegyesd;7;177;;;;;;;;;;;;;;;;;;;;;;;
Kenézlő;49;1 239;;;;;;;;;;;;;;;;;;;;;;;
Balatonalmádi;388;9 823;;;;;;;;;;;;;;;;;;;;;;;
Alsóberecki;30;760;;;;;;;;;;;;;;;;;;;;;;;
Tótszentmárton;32;811;;;;;;;;;;;;;;;;;;;;;;;
Bak;64;1 623;;;;;;;;;;;;;;;;;;;;;;;
Kondoros;196;4 972;;;;;;;;;;;;;;;;;;;;;;;
Homokbödöge;27;685;;;;;;;;;;;;;;;;;;;;;;;
Ravazd;51;1 294;;;;;;;;;;;;;;;;;;;;;;;
Püski;25;635;;;;;;;;;;;;;;;;;;;;;;;
Márianosztra;32;813;;;;;;;;;;;;;;;;;;;;;;;
Újtikos;34;864;;;;;;;;;;;;;;;;;;;;;;;
Úny;29;737;;;;;;;;;;;;;;;;;;;;;;;
Rábapatona;103;2 618;;;;;;;;;;;;;;;;;;;;;;;
Nyírvasvári;80;2 036;;;;;;;;;;;;;;;;;;;;;;;
Zimány;22;560;;;;;;;;;;;;;;;;;;;;;;;
Harsány;81;2 062;;;;;;;;;;;;;;;;;;;;;;;
Taksony;252;6 417;;;;;;;;;;;;;;;;;;;;;;;
Csokonyavisonta;62;1 579;;;;;;;;;;;;;;;;;;;;;;;
Újszilvás;107;2 727;;;;;;;;;;;;;;;;;;;;;;;
Medgyesegyháza;140;3 569;;;;;;;;;;;;;;;;;;;;;;;
Pannonhalma;138;3 519;;;;;;;;;;;;;;;;;;;;;;;
Telekes;20;510;;;;;;;;;;;;;;;;;;;;;;;
Zalameggyes;2;51;;;;;;;;;;;;;;;;;;;;;;;
Rátka;37;944;;;;;;;;;;;;;;;;;;;;;;;
Magyarhomorog;35;893;;;;;;;;;;;;;;;;;;;;;;;
Abaújszántó;117;2 986;;;;;;;;;;;;;;;;;;;;;;;
Pilismarót;82;2 095;;;;;;;;;;;;;;;;;;;;;;;
Kaposhomok;18;460;;;;;;;;;;;;;;;;;;;;;;;
Kismaros;93;2 377;;;;;;;;;;;;;;;;;;;;;;;
Nagykanizsa;1 831;46 835;;;;;;;;;;;;;;;;;;;;;;;
Császár;74;1 893;;;;;;;;;;;;;;;;;;;;;;;
Ádánd;84;2 150;;;;;;;;;;;;;;;;;;;;;;;
Egyházaskesző;20;512;;;;;;;;;;;;;;;;;;;;;;;
Tab;171;4 378;;;;;;;;;;;;;;;;;;;;;;;
Tóalmás;144;3 687;;;;;;;;;;;;;;;;;;;;;;;
Markotabödöge;19;487;;;;;;;;;;;;;;;;;;;;;;;
Gadány;14;359;;;;;;;;;;;;;;;;;;;;;;;
Kaposújlak;28;718;;;;;;;;;;;;;;;;;;;;;;;
Magyarpolány;52;1 334;;;;;;;;;;;;;;;;;;;;;;;
Dág;36;925;;;;;;;;;;;;;;;;;;;;;;;
Ecséd;122;3 137;;;;;;;;;;;;;;;;;;;;;;;
Budapest XV. kerület;3 065;78 813;;;;;;;;;;;;;;;;;;;;;;;
Szügy;57;1 467;;;;;;;;;;;;;;;;;;;;;;;
Szigetcsép;96;2 471;;;;;;;;;;;;;;;;;;;;;;;
Rád;74;1 905;;;;;;;;;;;;;;;;;;;;;;;
Kisrozvágy;8;206;;;;;;;;;;;;;;;;;;;;;;;
Galgagyörk;38;979;;;;;;;;;;;;;;;;;;;;;;;
Felsőszentiván;72;1 855;;;;;;;;;;;;;;;;;;;;;;;
Budapest VII. kerület;2 011;51 845;;;;;;;;;;;;;;;;;;;;;;;
Békés;754;19 444;;;;;;;;;;;;;;;;;;;;;;;
Neszmély;52;1 341;;;;;;;;;;;;;;;;;;;;;;;
Tószeg;177;4 565;;;;;;;;;;;;;;;;;;;;;;;
Ártánd;25;645;;;;;;;;;;;;;;;;;;;;;;;
Vámosszabadi;125;3 225;;;;;;;;;;;;;;;;;;;;;;;
;264 981;5 716 311;;;;;;;;;;;;;;;;;;;;;;;
Tömörd;11;284;;;;;;;;;;;;;;;;;;;;;;;
Gibárt;13;336;;;;;;;;;;;;;;;;;;;;;;;
Tác;68;1 758;;;;;;;;;;;;;;;;;;;;;;;
Káptalanfa;31;802;;;;;;;;;;;;;;;;;;;;;;;
Petőfibánya;103;2 665;;;;;;;;;;;;;;;;;;;;;;;
Szécsényfelfalu;16;414;;;;;;;;;;;;;;;;;;;;;;;
Mogyorósbánya;34;880;;;;;;;;;;;;;;;;;;;;;;;
Tárnok;388;10 044;;;;;;;;;;;;;;;;;;;;;;;
Hévízgyörk;123;3 185;;;;;;;;;;;;;;;;;;;;;;;
Murakeresztúr;66;1 710;;;;;;;;;;;;;;;;;;;;;;;
Tállya;70;1 814;;;;;;;;;;;;;;;;;;;;;;;
Csány;83;2 151;;;;;;;;;;;;;;;;;;;;;;;
Budapest XXII. kerület;2 131;55 282;;;;;;;;;;;;;;;;;;;;;;;
Tura;301;7 810;;;;;;;;;;;;;;;;;;;;;;;
Csurgó;189;4 905;;;;;;;;;;;;;;;;;;;;;;;
Domaszék;197;5 114;;;;;;;;;;;;;;;;;;;;;;;
Nyírpazony;142;3 688;;;;;;;;;;;;;;;;;;;;;;;
Csobaj;26;676;;;;;;;;;;;;;;;;;;;;;;;
Gyóró;15;390;;;;;;;;;;;;;;;;;;;;;;;
Lasztonya;3;78;;;;;;;;;;;;;;;;;;;;;;;
Márokföld;2;52;;;;;;;;;;;;;;;;;;;;;;;
Merenye;11;286;;;;;;;;;;;;;;;;;;;;;;;
Tófű;5;130;;;;;;;;;;;;;;;;;;;;;;;
Pápateszér;47;1 223;;;;;;;;;;;;;;;;;;;;;;;
Jászberény;1 009;26 257;;;;;;;;;;;;;;;;;;;;;;;
Fegyvernek;257;6 693;;;;;;;;;;;;;;;;;;;;;;;
Bodroghalom;53;1 381;;;;;;;;;;;;;;;;;;;;;;;
Molnaszecsőd;16;417;;;;;;;;;;;;;;;;;;;;;;;
Varsád;15;391;;;;;;;;;;;;;;;;;;;;;;;
Nyékládháza;196;5 112;;;;;;;;;;;;;;;;;;;;;;;
Bölcske;105;2 739;;;;;;;;;;;;;;;;;;;;;;;
Kaposszerdahely;39;1 018;;;;;;;;;;;;;;;;;;;;;;;
Egyházasdengeleg;17;444;;;;;;;;;;;;;;;;;;;;;;;
Tatabánya;2 630;68 698;;;;;;;;;;;;;;;;;;;;;;;
Mátramindszent;30;784;;;;;;;;;;;;;;;;;;;;;;;
Nagytálya;34;889;;;;;;;;;;;;;;;;;;;;;;;
Gávavencsellő;136;3 557;;;;;;;;;;;;;;;;;;;;;;;
Pátroha;120;3 139;;;;;;;;;;;;;;;;;;;;;;;
Vajszló;68;1 779;;;;;;;;;;;;;;;;;;;;;;;
Kőszeg;439;11 490;;;;;;;;;;;;;;;;;;;;;;;
Szentmártonkáta;192;5 027;;;;;;;;;;;;;;;;;;;;;;;
Csót;38;995;;;;;;;;;;;;;;;;;;;;;;;
Pázmánd;84;2 200;;;;;;;;;;;;;;;;;;;;;;;
Hegyhátszentjakab;10;262;;;;;;;;;;;;;;;;;;;;;;;
Újfehértó;488;12 795;;;;;;;;;;;;;;;;;;;;;;;
Komárom;734;19 248;;;;;;;;;;;;;;;;;;;;;;;
Papos;33;866;;;;;;;;;;;;;;;;;;;;;;;
Sárfimizdó;4;105;;;;;;;;;;;;;;;;;;;;;;;
Vágáshuta;4;105;;;;;;;;;;;;;;;;;;;;;;;
Sárkeszi;23;604;;;;;;;;;;;;;;;;;;;;;;;
Hosszúvölgy;7;184;;;;;;;;;;;;;;;;;;;;;;;
Kisrákos;7;184;;;;;;;;;;;;;;;;;;;;;;;
Somogyapáti;19;500;;;;;;;;;;;;;;;;;;;;;;;
Szajol;146;3 843;;;;;;;;;;;;;;;;;;;;;;;
Gyöngyösmellék;12;316;;;;;;;;;;;;;;;;;;;;;;;
Püspökhatvan;54;1 422;;;;;;;;;;;;;;;;;;;;;;;
Budapest XXI. kerület;2 825;74 406;;;;;;;;;;;;;;;;;;;;;;;
Mezőkövesd;624;16 437;;;;;;;;;;;;;;;;;;;;;;;
Halászi;121;3 188;;;;;;;;;;;;;;;;;;;;;;;
Balatonkeresztúr;63;1 660;;;;;;;;;;;;;;;;;;;;;;;
Sáránd;90;2 375;;;;;;;;;;;;;;;;;;;;;;;
Nagykáta;476;12 562;;;;;;;;;;;;;;;;;;;;;;;
Szatymaz;187;4 936;;;;;;;;;;;;;;;;;;;;;;;
Apátistvánfalva;15;396;;;;;;;;;;;;;;;;;;;;;;;
Barlahida;5;132;;;;;;;;;;;;;;;;;;;;;;;
Vécs;25;660;;;;;;;;;;;;;;;;;;;;;;;
Pilisszentkereszt;83;2 192;;;;;;;;;;;;;;;;;;;;;;;
Szentkirály;73;1 929;;;;;;;;;;;;;;;;;;;;;;;
Piliny;23;608;;;;;;;;;;;;;;;;;;;;;;;
Marcaltő;29;767;;;;;;;;;;;;;;;;;;;;;;;
Piliscsaba;311;8 234;;;;;;;;;;;;;;;;;;;;;;;
Tiszavasvári;496;13 138;;;;;;;;;;;;;;;;;;;;;;;
Börzönce;2;53;;;;;;;;;;;;;;;;;;;;;;;
Cakóháza;2;53;;;;;;;;;;;;;;;;;;;;;;;
Szilvásvárad;59;1 564;;;;;;;;;;;;;;;;;;;;;;;
Törökszentmiklós;788;20 913;;;;;;;;;;;;;;;;;;;;;;;
Nagyszentjános;70;1 859;;;;;;;;;;;;;;;;;;;;;;;
Úrhida;96;2 550;;;;;;;;;;;;;;;;;;;;;;;
Felsőzsolca;255;6 775;;;;;;;;;;;;;;;;;;;;;;;
Érsekcsanád;111;2 950;;;;;;;;;;;;;;;;;;;;;;;
Ceglédbercel;165;4 386;;;;;;;;;;;;;;;;;;;;;;;
Leányvár;70;1 861;;;;;;;;;;;;;;;;;;;;;;;
Vanyarc;46;1 223;;;;;;;;;;;;;;;;;;;;;;;
Hárskút;25;665;;;;;;;;;;;;;;;;;;;;;;;
Kisvárda;642;17 093;;;;;;;;;;;;;;;;;;;;;;;
Egeralja;8;213;;;;;;;;;;;;;;;;;;;;;;;
Fityeház;24;639;;;;;;;;;;;;;;;;;;;;;;;
Márfa;8;213;;;;;;;;;;;;;;;;;;;;;;;
Rádfalva;8;213;;;;;;;;;;;;;;;;;;;;;;;
Zebegény;48;1 279;;;;;;;;;;;;;;;;;;;;;;;
Iliny;6;160;;;;;;;;;;;;;;;;;;;;;;;
Vöröstó;3;80;;;;;;;;;;;;;;;;;;;;;;;
Pócsmegyer;96;2 562;;;;;;;;;;;;;;;;;;;;;;;
Buják;78;2 082;;;;;;;;;;;;;;;;;;;;;;;
Nyírcsászári;47;1 255;;;;;;;;;;;;;;;;;;;;;;;
Nagykőrös;893;23 851;;;;;;;;;;;;;;;;;;;;;;;
Tiszatelek;52;1 389;;;;;;;;;;;;;;;;;;;;;;;
Füzesabony;289;7 729;;;;;;;;;;;;;;;;;;;;;;;
Jászapáti;324;8 680;;;;;;;;;;;;;;;;;;;;;;;
Vecsés;796;21 328;;;;;;;;;;;;;;;;;;;;;;;
Tengelic;83;2 224;;;;;;;;;;;;;;;;;;;;;;;
Cegléd;1 377;36 909;;;;;;;;;;;;;;;;;;;;;;;
Miskolc;5 935;159 265;;;;;;;;;;;;;;;;;;;;;;;
Répcelak;97;2 604;;;;;;;;;;;;;;;;;;;;;;;
Csécse;34;913;;;;;;;;;;;;;;;;;;;;;;;
Gyúró;48;1 289;;;;;;;;;;;;;;;;;;;;;;;
Szilvágy;7;188;;;;;;;;;;;;;;;;;;;;;;;
Pilisborosjenő;145;3 896;;;;;;;;;;;;;;;;;;;;;;;
Bikács;16;430;;;;;;;;;;;;;;;;;;;;;;;
Kömlőd;40;1 075;;;;;;;;;;;;;;;;;;;;;;;
Szentendre;1 043;28 040;;;;;;;;;;;;;;;;;;;;;;;
Bakonyjákó;27;726;;;;;;;;;;;;;;;;;;;;;;;
Sárkeresztes;57;1 533;;;;;;;;;;;;;;;;;;;;;;;
Kisvarsány;39;1 049;;;;;;;;;;;;;;;;;;;;;;;
Somlóvásárhely;44;1 184;;;;;;;;;;;;;;;;;;;;;;;
Tiszafüred;425;11 439;;;;;;;;;;;;;;;;;;;;;;;
Gyékényes;37;996;;;;;;;;;;;;;;;;;;;;;;;
Jászladány;210;5 653;;;;;;;;;;;;;;;;;;;;;;;
Ukk;13;350;;;;;;;;;;;;;;;;;;;;;;;
Bucsa;86;2 316;;;;;;;;;;;;;;;;;;;;;;;
Tolcsva;65;1 751;;;;;;;;;;;;;;;;;;;;;;;
Cirák;20;539;;;;;;;;;;;;;;;;;;;;;;;
Szigetmonostor;103;2 779;;;;;;;;;;;;;;;;;;;;;;;
Csömödér;23;621;;;;;;;;;;;;;;;;;;;;;;;
Ebergőc;6;162;;;;;;;;;;;;;;;;;;;;;;;
Gombosszeg;2;54;;;;;;;;;;;;;;;;;;;;;;;
Káptalantóti;18;486;;;;;;;;;;;;;;;;;;;;;;;
Megyer;1;27;;;;;;;;;;;;;;;;;;;;;;;
Varbóc;2;54;;;;;;;;;;;;;;;;;;;;;;;
Kemenesmagasi;33;892;;;;;;;;;;;;;;;;;;;;;;;
Pomáz;669;18 085;;;;;;;;;;;;;;;;;;;;;;;
Káloz;89;2 407;;;;;;;;;;;;;;;;;;;;;;;
Lábatlan;187;5 061;;;;;;;;;;;;;;;;;;;;;;;
Encsencs;72;1 949;;;;;;;;;;;;;;;;;;;;;;;
Hatvan;762;20 639;;;;;;;;;;;;;;;;;;;;;;;
Galgaguta;23;623;;;;;;;;;;;;;;;;;;;;;;;
Zákányfalu;19;515;;;;;;;;;;;;;;;;;;;;;;;
Pécsudvard;30;814;;;;;;;;;;;;;;;;;;;;;;;
Kerta;21;570;;;;;;;;;;;;;;;;;;;;;;;
Nagylók;40;1 086;;;;;;;;;;;;;;;;;;;;;;;
Mihályfa;13;353;;;;;;;;;;;;;;;;;;;;;;;
Kaba;217;5 894;;;;;;;;;;;;;;;;;;;;;;;
Alsórajk;12;326;;;;;;;;;;;;;;;;;;;;;;;
Mány;92;2 504;;;;;;;;;;;;;;;;;;;;;;;
Nagybajom;117;3 191;;;;;;;;;;;;;;;;;;;;;;;
Buj;84;2 291;;;;;;;;;;;;;;;;;;;;;;;
Nyárád;35;955;;;;;;;;;;;;;;;;;;;;;;;
Kaposfő;58;1 583;;;;;;;;;;;;;;;;;;;;;;;
Nagykutas;17;464;;;;;;;;;;;;;;;;;;;;;;;
Dávod;76;2 075;;;;;;;;;;;;;;;;;;;;;;;
Pirtó;35;956;;;;;;;;;;;;;;;;;;;;;;;
Szob;97;2 650;;;;;;;;;;;;;;;;;;;;;;;
Gyenesdiás;148;4 047;;;;;;;;;;;;;;;;;;;;;;;
Napkor;139;3 803;;;;;;;;;;;;;;;;;;;;;;;
Tapolca;574;15 706;;;;;;;;;;;;;;;;;;;;;;;
Mosonszentmiklós;92;2 518;;;;;;;;;;;;;;;;;;;;;;;
Kunpeszér;27;739;;;;;;;;;;;;;;;;;;;;;;;
Hort;132;3 613;;;;;;;;;;;;;;;;;;;;;;;
Nagykovácsi;307;8 407;;;;;;;;;;;;;;;;;;;;;;;
Bő;26;713;;;;;;;;;;;;;;;;;;;;;;;
Nemeshany;14;384;;;;;;;;;;;;;;;;;;;;;;;
Ecser;147;4 038;;;;;;;;;;;;;;;;;;;;;;;
Dunaegyháza;53;1 456;;;;;;;;;;;;;;;;;;;;;;;
Nyírgyulaj;74;2 033;;;;;;;;;;;;;;;;;;;;;;;
Lövőpetri;19;522;;;;;;;;;;;;;;;;;;;;;;;
Tereske;25;687;;;;;;;;;;;;;;;;;;;;;;;
Adony;143;3 931;;;;;;;;;;;;;;;;;;;;;;;
Nagykörű;59;1 622;;;;;;;;;;;;;;;;;;;;;;;
Bábolna;129;3 547;;;;;;;;;;;;;;;;;;;;;;;
Ortaháza;4;110;;;;;;;;;;;;;;;;;;;;;;;
Hédervár;45;1 238;;;;;;;;;;;;;;;;;;;;;;;
Hásságy;11;303;;;;;;;;;;;;;;;;;;;;;;;
Nágocs;22;606;;;;;;;;;;;;;;;;;;;;;;;
Bodrogkeresztúr;39;1 075;;;;;;;;;;;;;;;;;;;;;;;
Szajk;30;827;;;;;;;;;;;;;;;;;;;;;;;
Solymár;409;11 277;;;;;;;;;;;;;;;;;;;;;;;
Nagytilaj;5;138;;;;;;;;;;;;;;;;;;;;;;;
Bátmonostor;57;1 574;;;;;;;;;;;;;;;;;;;;;;;
Dusnok;109;3 014;;;;;;;;;;;;;;;;;;;;;;;
Sülysáp;308;8 519;;;;;;;;;;;;;;;;;;;;;;;
Baktüttös;13;360;;;;;;;;;;;;;;;;;;;;;;;
Barcs;395;10 939;;;;;;;;;;;;;;;;;;;;;;;
Karancsság;47;1 302;;;;;;;;;;;;;;;;;;;;;;;
Mártély;47;1 303;;;;;;;;;;;;;;;;;;;;;;;
Kocsord;110;3 055;;;;;;;;;;;;;;;;;;;;;;;
Szarvas;572;15 887;;;;;;;;;;;;;;;;;;;;;;;
Bősárkány;77;2 139;;;;;;;;;;;;;;;;;;;;;;;
Zsámbék;206;5 724;;;;;;;;;;;;;;;;;;;;;;;
Lőrinci;201;5 593;;;;;;;;;;;;;;;;;;;;;;;
Sándorfalva;300;8 348;;;;;;;;;;;;;;;;;;;;;;;
Telki;152;4 230;;;;;;;;;;;;;;;;;;;;;;;
Nagybudmér;6;167;;;;;;;;;;;;;;;;;;;;;;;
Péteri;87;2 422;;;;;;;;;;;;;;;;;;;;;;;
Lakitelek;173;4 818;;;;;;;;;;;;;;;;;;;;;;;
Nagypall;14;390;;;;;;;;;;;;;;;;;;;;;;;
Nagyvenyim;152;4 235;;;;;;;;;;;;;;;;;;;;;;;
Orosháza;1 028;28 647;;;;;;;;;;;;;;;;;;;;;;;
Gelse;38;1 059;;;;;;;;;;;;;;;;;;;;;;;
Sámsonháza;10;279;;;;;;;;;;;;;;;;;;;;;;;
Mosdós;33;921;;;;;;;;;;;;;;;;;;;;;;;
Gyarmat;49;1 369;;;;;;;;;;;;;;;;;;;;;;;
Kondorfa;18;503;;;;;;;;;;;;;;;;;;;;;;;
Nagybajcs;36;1 006;;;;;;;;;;;;;;;;;;;;;;;
Tahitótfalu;215;6 009;;;;;;;;;;;;;;;;;;;;;;;
Jászfényszaru;208;5 818;;;;;;;;;;;;;;;;;;;;;;;
Égerszög;2;56;;;;;;;;;;;;;;;;;;;;;;;
Fertőboz;11;308;;;;;;;;;;;;;;;;;;;;;;;
Petőfiszállás;56;1 568;;;;;;;;;;;;;;;;;;;;;;;
Somlóvecse;3;84;;;;;;;;;;;;;;;;;;;;;;;
Somogyszil;26;728;;;;;;;;;;;;;;;;;;;;;;;
Zalaköveskút;1;28;;;;;;;;;;;;;;;;;;;;;;;
Pécel;591;16 564;;;;;;;;;;;;;;;;;;;;;;;
Tápiószecső;223;6 255;;;;;;;;;;;;;;;;;;;;;;;
Ófehértó;92;2 584;;;;;;;;;;;;;;;;;;;;;;;
Gór;11;309;;;;;;;;;;;;;;;;;;;;;;;
Szilaspogony;11;309;;;;;;;;;;;;;;;;;;;;;;;
Pellérd;82;2 309;;;;;;;;;;;;;;;;;;;;;;;
Balatonszabadi;107;3 013;;;;;;;;;;;;;;;;;;;;;;;
Sükösd;131;3 690;;;;;;;;;;;;;;;;;;;;;;;
Gerendás;44;1 240;;;;;;;;;;;;;;;;;;;;;;;
Zagyvarékas;131;3 693;;;;;;;;;;;;;;;;;;;;;;;
Csepreg;115;3 243;;;;;;;;;;;;;;;;;;;;;;;
Nagysáp;52;1 467;;;;;;;;;;;;;;;;;;;;;;;
Tarján;94;2 652;;;;;;;;;;;;;;;;;;;;;;;
Pap;69;1 948;;;;;;;;;;;;;;;;;;;;;;;
Kecel;305;8 616;;;;;;;;;;;;;;;;;;;;;;;
Kárász;12;339;;;;;;;;;;;;;;;;;;;;;;;
Kutasó;4;113;;;;;;;;;;;;;;;;;;;;;;;
Mikóháza;19;537;;;;;;;;;;;;;;;;;;;;;;;
Inárcs;167;4 722;;;;;;;;;;;;;;;;;;;;;;;
Bicske;442;12 503;;;;;;;;;;;;;;;;;;;;;;;
Mekényes;10;283;;;;;;;;;;;;;;;;;;;;;;;
Kolontár;26;736;;;;;;;;;;;;;;;;;;;;;;;
Monostorpályi;77;2 180;;;;;;;;;;;;;;;;;;;;;;;
Csánig;12;340;;;;;;;;;;;;;;;;;;;;;;;
Döbröce;3;85;;;;;;;;;;;;;;;;;;;;;;;
Rigyác;15;425;;;;;;;;;;;;;;;;;;;;;;;
Helesfa;17;482;;;;;;;;;;;;;;;;;;;;;;;
Kerepes;375;10 633;;;;;;;;;;;;;;;;;;;;;;;
Decs;145;4 113;;;;;;;;;;;;;;;;;;;;;;;
Nyíracsád;134;3 803;;;;;;;;;;;;;;;;;;;;;;;
Gyulaháza;70;1 987;;;;;;;;;;;;;;;;;;;;;;;
Fülesd;17;483;;;;;;;;;;;;;;;;;;;;;;;
Kaszaper;65;1 847;;;;;;;;;;;;;;;;;;;;;;;
Üllő;429;12 194;;;;;;;;;;;;;;;;;;;;;;;
Zsámbok;89;2 531;;;;;;;;;;;;;;;;;;;;;;;
Nyírkarász;81;2 305;;;;;;;;;;;;;;;;;;;;;;;
Jászboldogháza;59;1 679;;;;;;;;;;;;;;;;;;;;;;;
Aszód;217;6 176;;;;;;;;;;;;;;;;;;;;;;;
Csajág;30;854;;;;;;;;;;;;;;;;;;;;;;;
Kétvölgy;4;114;;;;;;;;;;;;;;;;;;;;;;;
Nagykorpád;20;570;;;;;;;;;;;;;;;;;;;;;;;
Bükkszentkereszt;41;1 169;;;;;;;;;;;;;;;;;;;;;;;
Márok;15;428;;;;;;;;;;;;;;;;;;;;;;;
Mezőgyán;37;1 056;;;;;;;;;;;;;;;;;;;;;;;
Bögöte;11;314;;;;;;;;;;;;;;;;;;;;;;;
Herencsény;20;571;;;;;;;;;;;;;;;;;;;;;;;
Újkér;35;1 000;;;;;;;;;;;;;;;;;;;;;;;
Pákozd;118;3 375;;;;;;;;;;;;;;;;;;;;;;;
Mátraterenye;62;1 774;;;;;;;;;;;;;;;;;;;;;;;
Vácduka;58;1 660;;;;;;;;;;;;;;;;;;;;;;;
Kisgyalán;8;229;;;;;;;;;;;;;;;;;;;;;;;
Kup;16;458;;;;;;;;;;;;;;;;;;;;;;;
Nagymaros;177;5 068;;;;;;;;;;;;;;;;;;;;;;;
Surd;22;630;;;;;;;;;;;;;;;;;;;;;;;
Helvécia;171;4 897;;;;;;;;;;;;;;;;;;;;;;;
Keszthely;675;19 334;;;;;;;;;;;;;;;;;;;;;;;
